filename,fixture_id,category,status,vocabulary,duration_s,size_bytes,audio_format,conditions,what_it_tests,use_for,timing_ground_truth,beep_interval_s,expected_calls,expected_shot_count,expect_invariants_pass,contains_correction,contains_note,traps_planted,label_status,notes
07262026_MorningHoops.m4a,R01,real_session,recorded,CONFIRM,107.41,1726799,aac 48kHz stereo ~125kbps,natural morning session,Real-world baseline. Unscripted conditions the fixtures only approximate.,regression,FALSE,,,,TRUE,,,,NEEDS_LABELING,Recorded 2026-07-26. Predates the vocabulary decision — confirm which words were used.
07272026_MorningHoops.m4a,R02,real_session,recorded,CONFIRM,89.07,1434010,aac 48kHz stereo ~125kbps,natural morning session,Real-world baseline. Second unscripted session.,regression,FALSE,,,,TRUE,,,,NEEDS_LABELING,Recorded 2026-07-27. Confirm vocabulary used.
F01_NormalSwishBrick.m4a,F01,fixture,recorded,swish_brick,88.90,1426250,aac 48kHz stereo ~125kbps,normal volume normal distance,Happy path. The control every other fixture is compared against.,regression,FALSE,,,,TRUE,FALSE,FALSE,,NEEDS_LABELING,Same duration and byte size as the earlier Spear_St_8 upload — likely the same recording re-exported.
F02_SwishBrickChatty.m4a,F02,fixture,recorded,swish_brick,52.20,841538,aac 48kHz stereo ~125kbps,heavy commentary,Isolation gating against ordinary speech. Catches phantom shots from muttering.,GATE,FALSE,,,,TRUE,FALSE,FALSE,,NEEDS_LABELING,List every bait sentence in traps_planted. Zero phantom shots is a hard build gate.
F04_SwishBrickQuiet.m4a,F04,fixture,recorded,swish_brick,107.75,1736926,aac 48kHz stereo ~125kbps,whisper-quiet + phone at distance,Detection recall at low volume and distance — the real 6am condition.,tuning,FALSE,,,,TRUE,FALSE,FALSE,,NEEDS_LABELING,Note actual phone distance and whether it was face-down.
F05_SwishBrickMusic.m4a,F05,fixture,recorded,swish_brick,59.03,952662,aac 48kHz stereo ~125kbps,background music,Acoustic masking from competing audio.,tuning,FALSE,,,,TRUE,FALSE,FALSE,,NEEDS_LABELING,Confirm whether any calls overlap loud ball impacts — if not that condition is untested.
F06_SwishBrick10secBeep.m4a,F06,fixture,recorded,swish_brick,125.33,2015518,aac 48kHz stereo ~125kbps,10-second timer beep,Timing accuracy with free ground truth — expected gaps are exactly the beep interval.,GATE,TRUE,10,,,TRUE,FALSE,FALSE,,NEEDS_LABELING,Only fixture that validates timing MAE. Confirm the beep interval was actually 10s.
F08_SwishBrickScratchThat.m4a,F08,fixture,recorded,swish_brick,33.60,541471,aac 48kHz stereo ~125kbps,correction spoken,Correction handling. Code path no other fixture exercises.,regression,FALSE,,,,TRUE,TRUE,CONFIRM,,NEEDS_LABELING,Short at 33.6s. Confirm whether a trailing 'note:' was included — if not F14-style note capture is untested.
F00_NormalMakeMiss.m4a,F07,fixture,recorded,make_miss,104.68,1685927,aac 48kHz stereo ~125kbps,normal volume make/miss vocabulary,Backward compatibility. Proves the parser is vocabulary-agnostic via per-fixture override.,regression,FALSE,,,,TRUE,FALSE,FALSE,,NEEDS_LABELING,Harness must read vocabulary from this manifest — make/miss is NOT in production config.
F00_NormalMakeMiss10secBeep.m4a,F07b,fixture,recorded,make_miss,41.54,668566,aac 48kHz stereo ~125kbps,10-second timer beep make/miss vocabulary,Timing validation under the alternate vocabulary. Secondary to F06.,regression,TRUE,10,,,TRUE,FALSE,FALSE,,NEEDS_LABELING,Bonus file. Cross-checks that timing accuracy is not vocabulary-dependent.
,F03,fixture,NOT_RECORDED,swish_brick,,,,call words used conversationally,Residual risk of this vocabulary. Saying 'ugh what a brick' right after a called 'brick' is a duplicate shot that invariant I3 only catches inside 1.5s.,GATE,FALSE,,,,TRUE,FALSE,FALSE,,NOT_RECORDED,Binding constraint on isolation threshold tuning. Highest priority missing fixture.
,F09,fixture,NOT_RECORDED,swish_brick,,,,one shot deliberately not called,Known-unrecoverable case. Parser must flag rather than invent a shot or report a wrong count.,regression,FALSE,,,,FALSE,FALSE,FALSE,,NOT_RECORDED,Keep it short — three or four shots total.
,F10,fixture,NOT_RECORDED,swish_brick,,,,out of breath + 5 min trailing silence,Articulation stress plus trailing silence. You will forget to stop the recording eventually.,regression,FALSE,,,,TRUE,FALSE,FALSE,,NOT_RECORDED,Run stairs first. Leave it recording 5 minutes after finishing.
dev/dev01.m4a,D01,dev,recorded,make_miss,,,aac,dev fixture,Bball shot 2,regression,FALSE,,,,TRUE,,,,NEEDS_LABELING,folded in from old manifest
dev/dev02.m4a,D02,dev,recorded,make_miss,,,aac,dev fixture,Morning basketball shot — phantom-shot stress test,regression,FALSE,,,,TRUE,,,,NEEDS_LABELING,label expected_calls carefully
dev/dev03.m4a,D03,dev,recorded,make_miss,,,aac,dev fixture,Normal make-miss 10am beep,regression,FALSE,,,,TRUE,,,,NEEDS_LABELING,folded in from old manifest
dev/dev04.m4a,D04,dev,recorded,make_miss,,,aac,dev fixture,Normal make-miss only,regression,FALSE,,,,TRUE,,,,NEEDS_LABELING,folded in from old manifest
